;destination;origin;product;import;export;label;month;year
286;NL;DE;407;6254312.0;8886346.0;0;11;2011
287;NL;DE;407;5982403.0;8057490.0;0;12;2011
288;NL;DE;407;5375273.0;6046631.0;0;1;2012
289;NL;DE;407;6234508.0;8223531.0;0;2;2012
290;NL;DE;407;8670480.0;9351209.0;0;3;2012
291;NL;DE;407;6337514.0;7062661.0;0;4;2012
292;NL;DE;407;7879327.0;9165789.0;0;5;2012
293;NL;DE;407;7034648.0;7150517.0;0;6;2012
294;NL;DE;407;7968188.0;9920120.0;0;7;2012
295;NL;DE;407;7383287.0;8606228.0;0;8;2012
296;NL;DE;407;7047895.0;9391252.0;0;9;2012
297;NL;DE;407;10782158.0;9974483.0;0;10;2012
298;NL;DE;407;8666473.0;10343897.0;0;11;2012
299;NL;DE;407;7334428.0;7102507.0;0;12;2012
300;NL;DE;407;8660703.0;10089013.0;0;1;2013
301;NL;DE;407;8405198.0;6044206.0;0;2;2013
302;NL;DE;407;8374317.0;9002523.0;0;3;2013
303;NL;DE;407;6869645.0;6436501.0;0;4;2013
304;NL;DE;407;8961543.0;8198426.0;0;5;2013
305;NL;DE;407;7833073.0;9754759.0;0;6;2013
306;NL;DE;407;8100926.0;6627862.0;0;7;2013
307;NL;DE;407;7532485.0;8393396.0;0;8;2013
308;NL;DE;407;5767864.0;4863140.0;0;9;2013
309;NL;DE;407;6728414.0;11657521.0;0;10;2013
310;NL;DE;407;8847209.0;6602283.0;0;11;2013
311;NL;DE;407;6973783.0;6591512.0;0;12;2013
312;NL;DE;407;10520425.0;8781693.0;0;1;2014
313;NL;DE;407;10066665.0;9736647.0;0;2;2014
314;NL;DE;407;10603287.0;12449829.0;0;3;2014
315;NL;DE;407;9862308.0;7791943.0;0;4;2014
316;NL;DE;407;9706769.0;11372312.0;0;5;2014
317;NL;DE;407;9242484.0;10375547.0;0;6;2014
318;NL;DE;407;9185364.0;4426518.0;0;7;2014
319;NL;DE;407;7077858.0;12431377.0;0;8;2014
320;NL;DE;407;6658387.0;8628829.0;0;9;2014
321;NL;DE;407;8537914.0;9192532.0;0;10;2014
322;NL;DE;407;7563034.0;9448780.0;0;11;2014
323;NL;DE;407;6834705.0;9270384.0;0;12;2014
324;NL;DE;407;6746163.0;5581257.0;0;1;2015
325;NL;DE;407;5320499.0;5323762.0;0;2;2015
326;NL;DE;407;6300028.0;8387973.0;0;3;2015
327;NL;DE;407;7121114.0;9593692.0;0;4;2015
328;NL;DE;407;6535121.0;9277332.0;0;5;2015
329;NL;DE;407;6753665.0;8221065.0;0;6;2015
330;NL;DE;407;8354076.0;8543031.0;0;7;2015
331;NL;DE;407;6735777.0;11539200.0;0;8;2015
332;NL;DE;407;7435265.0;9193749.0;0;9;2015
333;NL;DE;407;7010672.0;8413511.0;0;10;2015
334;NL;DE;407;6335346.0;9823710.0;0;11;2015
335;NL;DE;407;9266081.0;11742135.0;0;12;2015
336;NL;DE;407;9565354.0;7923728.0;0;1;2016
337;NL;DE;407;10250377.0;9401537.0;0;2;2016
